"Month","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"OCT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"NOV","6.03","6.03","6.03","6.03","6.03","6.03","6.03","6.03","6.03","6.03","6.03","6.03","6.03","6.03","6.03","6.03","6.03","6.03","6.03"
"DEC","7.18","7.18","7.18","7.18","7.18","7.18","7.18","7.18","7.18","7.18","7.18","7.18","7.18","7.18","7.18","7.18","7.18","7.18","7.18"
"JAN","0.82","0.82","0.82","0.82","0.82","0.82","0.82","0.82","0.82","0.82","0.82","0.82","0.82","0.82","0.82","0.82","0.82","0.82","0.82"
"FEB","2.01","2.01","2.01","2.01","2.01","2.01","2.01","2.01","2.01","2.01","2.01","2.01","2.01","2.01","2.01","2.01","2.01","2.01","2.01"
"MAR","9.96","9.96","9.96","9.96","9.96","9.96","9.96","9.96","9.96","9.96","9.96","9.96","9.96","9.96","9.96","9.96","9.96","9.96","9.96"
"APR","4.74","4.74","4.74","4.74","4.74","4.74","4.74","4.74","4.74","4.74","4.74","4.74","4.74","4.74","4.74","4.74","4.74","4.74","4.74"
"MAY","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78"
"JUN","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13"
"JUL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AUG","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.09"
"SEP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
