Year,Month,Inches of Precipitation
2002,OCT,0.00
2002,NOV,6.03
2002,DEC,7.18
2002,JAN,0.82
2002,FEB,2.01
2002,MAR,9.96
2002,APR,4.74
2002,MAY,0.78
2002,JUN,0.13
2002,JUL,0.00
2002,AUG,0.09
2002,SEP,0.00
2003,OCT,0.00
2003,NOV,6.03
2003,DEC,7.18
2003,JAN,0.82
2003,FEB,2.01
2003,MAR,9.96
2003,APR,4.74
2003,MAY,0.78
2003,JUN,0.13
2003,JUL,0.00
2003,AUG,0.09
2003,SEP,0.00
2004,OCT,0.00
2004,NOV,6.03
2004,DEC,7.18
2004,JAN,0.82
2004,FEB,2.01
2004,MAR,9.96
2004,APR,4.74
2004,MAY,0.78
2004,JUN,0.13
2004,JUL,0.00
2004,AUG,0.09
2004,SEP,0.00
2005,OCT,0.00
2005,NOV,6.03
2005,DEC,7.18
2005,JAN,0.82
2005,FEB,2.01
2005,MAR,9.96
2005,APR,4.74
2005,MAY,0.78
2005,JUN,0.13
2005,JUL,0.00
2005,AUG,0.09
2005,SEP,0.00
2006,OCT,0.00
2006,NOV,6.03
2006,DEC,7.18
2006,JAN,0.82
2006,FEB,2.01
2006,MAR,9.96
2006,APR,4.74
2006,MAY,0.78
2006,JUN,0.13
2006,JUL,0.00
2006,AUG,0.09
2006,SEP,0.00
2007,OCT,0.00
2007,NOV,6.03
2007,DEC,7.18
2007,JAN,0.82
2007,FEB,2.01
2007,MAR,9.96
2007,APR,4.74
2007,MAY,0.78
2007,JUN,0.13
2007,JUL,0.00
2007,AUG,0.09
2007,SEP,0.00
2008,OCT,0.00
2008,NOV,6.03
2008,DEC,7.18
2008,JAN,0.82
2008,FEB,2.01
2008,MAR,9.96
2008,APR,4.74
2008,MAY,0.78
2008,JUN,0.13
2008,JUL,0.00
2008,AUG,0.09
2008,SEP,0.00
2009,OCT,0.00
2009,NOV,6.03
2009,DEC,7.18
2009,JAN,0.82
2009,FEB,2.01
2009,MAR,9.96
2009,APR,4.74
2009,MAY,0.78
2009,JUN,0.13
2009,JUL,0.00
2009,AUG,0.09
2009,SEP,0.00
2010,OCT,0.00
2010,NOV,6.03
2010,DEC,7.18
2010,JAN,0.82
2010,FEB,2.01
2010,MAR,9.96
2010,APR,4.74
2010,MAY,0.78
2010,JUN,0.13
2010,JUL,0.00
2010,AUG,0.09
2010,SEP,0.00
2011,OCT,0.00
2011,NOV,6.03
2011,DEC,7.18
2011,JAN,0.82
2011,FEB,2.01
2011,MAR,9.96
2011,APR,4.74
2011,MAY,0.78
2011,JUN,0.13
2011,JUL,0.00
2011,AUG,0.09
2011,SEP,0.00
2012,OCT,0.00
2012,NOV,6.03
2012,DEC,7.18
2012,JAN,0.82
2012,FEB,2.01
2012,MAR,9.96
2012,APR,4.74
2012,MAY,0.78
2012,JUN,0.13
2012,JUL,0.00
2012,AUG,0.09
2012,SEP,0.00
2013,OCT,0.00
2013,NOV,6.03
2013,DEC,7.18
2013,JAN,0.82
2013,FEB,2.01
2013,MAR,9.96
2013,APR,4.74
2013,MAY,0.78
2013,JUN,0.13
2013,JUL,0.00
2013,AUG,0.09
2013,SEP,0.00
2014,OCT,0.00
2014,NOV,6.03
2014,DEC,7.18
2014,JAN,0.82
2014,FEB,2.01
2014,MAR,9.96
2014,APR,4.74
2014,MAY,0.78
2014,JUN,0.13
2014,JUL,0.00
2014,AUG,0.09
2014,SEP,0.00
2015,OCT,0.00
2015,NOV,6.03
2015,DEC,7.18
2015,JAN,0.82
2015,FEB,2.01
2015,MAR,9.96
2015,APR,4.74
2015,MAY,0.78
2015,JUN,0.13
2015,JUL,0.00
2015,AUG,0.09
2015,SEP,0.00
2016,OCT,0.00
2016,NOV,6.03
2016,DEC,7.18
2016,JAN,0.82
2016,FEB,2.01
2016,MAR,9.96
2016,APR,4.74
2016,MAY,0.78
2016,JUN,0.13
2016,JUL,0.00
2016,AUG,0.09
2016,SEP,0.00
2017,OCT,0.00
2017,NOV,6.03
2017,DEC,7.18
2017,JAN,0.82
2017,FEB,2.01
2017,MAR,9.96
2017,APR,4.74
2017,MAY,0.78
2017,JUN,0.13
2017,JUL,0.00
2017,AUG,0.09
2017,SEP,0.00
2018,OCT,0.00
2018,NOV,6.03
2018,DEC,7.18
2018,JAN,0.82
2018,FEB,2.01
2018,MAR,9.96
2018,APR,4.74
2018,MAY,0.78
2018,JUN,0.13
2018,JUL,0.00
2018,AUG,0.09
2018,SEP,0.00
2019,OCT,0.00
2019,NOV,6.03
2019,DEC,7.18
2019,JAN,0.82
2019,FEB,2.01
2019,MAR,9.96
2019,APR,4.74
2019,MAY,0.78
2019,JUN,0.13
2019,JUL,0.00
2019,AUG,0.09
2019,SEP,0.00
2020,OCT,0.00
2020,NOV,6.03
2020,DEC,7.18
2020,JAN,0.82
2020,FEB,2.01
2020,MAR,9.96
2020,APR,4.74
2020,MAY,0.78
2020,JUN,0.13
2020,JUL,0.00
2020,AUG,0.09
2020,SEP,0.00
